NC_003155.4|:98160-98540(+)	NC_003888.3|:6484344-6484908(+)	67.51	397	380	50	13	1	380	122	456	2e-38	162
NC_003155.4|:382159-382268(-)	NC_003888.3|:6484344-6484908(+)	82.14	56	109	9	1	8	62	306	361	1e-10	58
NC_003155.4|:382370-382428(-)	NC_003888.3|:6484344-6484908(+)	84.85	33	58	3	1	26	58	165	195	1e-05	38
NC_003155.4|:382446-382612(-)	NC_003888.3|:6484344-6484908(+)	88.96	154	166	11	4	13	166	13	160	3e-51	208
NC_003155.4|:1219273-1219321(-)	NC_003888.3|:3082274-3082345(+)	89.13	46	48	5	0	1	46	26	71	3e-13	66
NC_003155.4|:1223169-1223354(-)	NC_003888.3|:838749-838863(+)	87.78	90	185	10	1	34	123	9	97	3e-27	120
NC_003155.4|:1225750-1225858(-)	NC_003888.3|:3082274-3082345(+)	92.96	71	108	5	0	36	106	1	71	2e-26	116
NC_003155.4|:2468942-2469157(+)	NC_003888.3|:5556523-5556709(-)	89.66	29	215	2	1	136	164	33	60	6e-05	38
NC_003155.4|:2590362-2590455(-)	NC_003888.3|:6706590-6706667(+)	87.67	73	93	6	2	10	82	6	75	1e-20	94
NC_003155.4|:2732473-2732605(+)	NC_003888.3|:5556523-5556709(-)	73.91	69	132	13	3	56	120	28	95	3e-05	38
NC_003155.4|:2949602-2949746(-)	NC_003888.3|:6392116-6392286(+)	88.57	140	144	11	1	10	144	1	140	4e-49	200
NC_003155.4|:3079080-3079265(-)	NC_003888.3|:3302023-3302281(-)	86.27	102	185	14	0	50	151	157	258	4e-31	134
NC_003155.4|:3079080-3079265(-)	NC_003888.3|:3302023-3302281(-)	90.00	30	185	3	0	156	185	181	210	1e-06	44
NC_003155.4|:3126938-3127014(+)	NC_003888.3|:6221498-6221571(-)	82.86	70	76	9	2	2	71	5	71	1e-14	72
NC_003155.4|:3250520-3250602(-)	NC_003888.3|:6085732-6085815(+)	91.46	82	82	4	3	1	80	1	81	1e-26	116
NC_003155.4|:3451151-3451231(+)	NC_003888.3|:5912162-5912258(-)	87.18	78	80	10	0	3	80	3	80	7e-24	106
NC_003155.4|:3773482-3773826(-)	NC_003888.3|:5699819-5700035(+)	93.02	172	344	12	0	172	343	44	215	2e-71	284
NC_003155.4|:3912958-3913036(+)	NC_003888.3|:5108128-5108199(+)	80.60	67	78	12	1	8	73	1	67	2e-12	64
NC_003155.4|:4036139-4036188(-)	NC_003888.3|:5462579-5462628(+)	97.92	48	49	0	1	1	47	2	49	1e-18	86
NC_003155.4|:4344000-4344147(-)	NC_003888.3|:3369990-3370220(-)	82.89	152	147	17	4	1	143	76	227	8e-39	162
NC_003155.4|:4571211-4571486(+)	NC_003888.3|:3510093-3510186(-)	83.70	92	275	6	6	108	194	88	1	2e-18	88
NC_003155.4|:4571211-4571486(+)	NC_003888.3|:4805579-4805789(-)	89.29	28	275	3	0	202	229	49	76	2e-05	40
NC_003155.4|:4571265-4571405(-)	NC_003888.3|:3510093-3510186(-)	83.70	92	140	6	6	1	87	1	88	1e-18	88
NC_003155.4|:4617508-4617600(+)	NC_003888.3|:3605513-3605596(+)	82.61	46	92	7	1	42	86	32	77	4e-08	48
NC_003155.4|:4762015-4762130(+)	NC_003888.3|:4811712-4811827(-)	91.15	113	115	10	0	1	113	1	113	1e-42	176
NC_003155.4|:4762015-4762130(+)	NC_003888.3|:4811712-4811827(-)	89.29	28	115	3	0	83	110	110	83	8e-06	40
NC_003155.4|:4765692-4765915(+)	NC_003888.3|:4805579-4805789(-)	85.97	221	223	20	4	3	223	1	210	4e-70	278
NC_003155.4|:4808104-4808188(-)	NC_003888.3|:4753311-4753401(+)	88.16	76	84	9	0	8	83	1	76	7e-24	106
NC_003155.4|:4895792-4896030(+)	NC_003888.3|:4637325-4637485(-)	89.86	69	238	5	2	26	93	1	68	4e-20	94
NC_003155.4|:4996047-4996124(+)	NC_003888.3|:4553537-4553616(-)	89.19	74	77	8	0	1	74	1	74	2e-24	108
NC_003155.4|:4996047-4996124(+)	NC_003888.3|:4553537-4553616(-)	90.91	33	77	3	0	44	76	74	42	1e-08	50
NC_003155.4|:5029659-5029867(-)	NC_003888.3|:4530077-4530310(+)	75.56	225	208	30	4	6	207	6	228	2e-43	180
NC_003155.4|:5051506-5051673(-)	NC_003888.3|:4507133-4507300(+)	84.91	159	167	24	0	9	167	1	159	2e-48	198
NC_003155.4|:5051506-5051673(-)	NC_003888.3|:6392116-6392286(+)	93.75	32	167	2	0	136	167	132	163	2e-09	54
NC_003155.4|:5081597-5081712(+)	NC_003888.3|:4470035-4470108(-)	100.00	73	115	0	0	43	115	1	73	1e-34	146
NC_003155.4|:5102608-5102792(+)	NC_003888.3|:6489790-6489972(-)	72.73	176	184	43	4	11	184	1	173	9e-21	96
NC_003155.4|:5102608-5102792(+)	NC_003888.3|:5113595-5113760(+)	77.27	88	184	19	1	90	176	78	165	3e-14	72
NC_003155.4|:5176901-5176975(-)	NC_003888.3|:5043142-5043220(+)	83.56	73	74	11	1	1	73	7	78	2e-17	82
NC_003155.4|:5207049-5207192(-)	NC_003888.3|:3174428-3174924(-)	86.21	29	143	4	0	46	74	319	291	4e-05	38
NC_003155.4|:5240033-5240107(-)	NC_003888.3|:4315357-4315489(+)	97.06	68	74	0	1	1	66	59	126	3e-28	122
NC_003155.4|:5434766-5435097(-)	NC_003888.3|:5116750-5117055(-)	78.87	194	331	31	6	117	304	92	281	2e-38	162
NC_003155.4|:5434766-5435097(-)	NC_003888.3|:5116750-5117055(-)	85.71	42	331	4	2	1	41	1	41	6e-07	46
NC_003155.4|:5452986-5453201(+)	NC_003888.3|:4061680-4061931(-)	88.89	117	215	13	0	99	215	11	127	3e-40	168
NC_003155.4|:5613648-5613695(+)	NC_003888.3|:4295742-4296186(+)	87.10	31	47	3	1	12	42	436	407	1e-05	38
NC_003155.4|:5621920-5622151(-)	NC_003888.3|:3934692-3934919(+)	90.67	225	231	18	3	1	224	1	223	1e-84	332
NC_003155.4|:5621920-5622151(-)	NC_003888.3|:3934692-3934919(+)	89.29	28	231	3	0	196	223	222	195	2e-05	40
NC_003155.4|:5623151-5623293(+)	NC_003888.3|:3933526-3933668(-)	99.30	142	142	1	0	1	142	1	142	3e-70	278
NC_003155.4|:5758723-5758952(+)	NC_003888.3|:3690885-3691139(-)	77.37	243	229	40	7	2	229	1	243	3e-46	190
NC_003155.4|:6123836-6124050(+)	NC_003888.3|:3302023-3302281(-)	77.21	215	214	44	5	4	214	5	218	4e-39	164
NC_003155.4|:6225321-6225412(-)	NC_003888.3|:3208718-3208802(+)	100.00	82	91	0	0	3	84	3	84	1e-39	164
NC_003155.4|:6460135-6460234(-)	NC_003888.3|:2982222-2982670(+)	85.26	95	99	12	2	1	93	348	442	2e-25	112
NC_003155.4|:6460259-6460569(-)	NC_003888.3|:2982222-2982670(+)	87.14	280	310	31	5	1	277	2	279	3e-92	360
NC_003155.4|:6563314-6563407(-)	NC_003888.3|:2860741-2860810(+)	88.57	70	93	6	2	1	69	1	69	5e-20	92
NC_003155.4|:6563314-6563407(-)	NC_003888.3|:1054646-1054736(-)	97.50	40	93	1	0	2	41	2	41	4e-15	74
NC_003155.4|:7291228-7291400(+)	NC_003888.3|:2308677-2308772(-)	96.84	95	172	3	0	3	97	1	95	6e-42	174
NC_003155.4|:7297144-7297192(+)	NC_003888.3|:2297563-2297658(-)	93.33	45	48	3	0	2	46	48	92	2e-15	74
NC_003155.4|:7322305-7322414(-)	NC_003888.3|:2276539-2276611(+)	95.31	64	109	3	0	1	64	1	64	2e-25	112
NC_003155.4|:7332845-7332956(-)	NC_003888.3|:2264716-2264823(+)	97.17	106	111	1	1	3	108	4	107	1e-47	194
NC_003155.4|:7340360-7340426(+)	NC_003888.3|:2257981-2258212(-)	88.68	53	66	6	0	1	53	1	53	7e-16	76
NC_003155.4|:7542005-7542085(-)	NC_003888.3|:2099075-2099145(+)	84.62	78	80	3	2	4	80	1	70	1e-20	94
NC_003155.4|:7764905-7765176(+)	NC_003888.3|:1921799-1922085(-)	79.39	262	271	50	2	11	269	1	261	7e-62	248
NC_003155.4|:7764905-7765176(+)	NC_003888.3|:3302023-3302281(-)	88.89	45	271	4	1	227	271	174	217	8e-11	60
NC_003155.4|:8063308-8063459(-)	NC_003888.3|:1703983-1704169(+)	94.07	118	151	7	0	1	118	1	118	4e-49	200
NC_003155.4|:8246139-8246202(-)	NC_003888.3|:1529417-1529480(+)	93.65	63	63	4	0	1	63	1	63	5e-24	106
NC_003155.4|:8259273-8259573(+)	NC_003888.3|:1519564-1519780(-)	71.92	260	300	27	5	8	266	1	215	3e-42	176
NC_003155.4|:8328101-8328240(+)	NC_003888.3|:1473909-1474104(-)	82.58	132	139	18	5	10	137	3	133	1e-29	128
NC_003155.4|:8358792-8358966(+)	NC_003888.3|:1440923-1441015(-)	77.92	77	174	14	1	13	86	16	92	1e-12	66
